INDIR,FOLDER,IN FILE,DURATION,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,LATITUDE,LONGITUDE,MODEL,SERIAL NO,FIRMWARE,PREFIX,NOTES,AUTO ID,PULSES,MATCHING,MATCH RATIO,MARGIN,FILES,MANUAL ID,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS045\Data2,WSS045_20230313_091949.wav,93.082,2023-03-13,09:19:49,9,2023-03-12,21:19:49,21,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,wFF7ieJInwKnwGGIbfCHaw==
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS045\Data2,WSS045_20230313_092143.wav,33.001,2023-03-13,09:21:43,9,2023-03-12,21:21:43,21,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,qgP/5yFis7OiA3loWohjiw==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS045\Data2,WSS045_20230330_194102.wav,597.844,2023-03-30,19:41:02,19,2023-03-30,07:41:02,7,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,i+5ubFgQs0EgSXce8rUioA==
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS045\Data2,WSS045_20230319_002802.wav,597.844,2023-03-19,00:28:02,0,2023-03-18,12:28:02,12,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,w5lkE8qvmfuG7YDo+b+EGg==
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS049\Data2,WSS049_20230317_233602.wav,597.844,2023-03-17,23:36:02,23,2023-03-17,11:36:02,11,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,VzIg/x0qWn9o5Q7hiImotA==
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS049\Data2,WSS049_20230323_191702.wav,597.844,2023-03-23,19:17:02,19,2023-03-23,07:17:02,7,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,mr0c4SwZqw2dNz3/j2ZTtw==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS049\Data2,WSS049_20230330_185002.wav,597.844,2023-03-30,18:50:02,18,2023-03-30,06:50:02,6,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,Vn49TuhCK4OkF6OvaKbM8w==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS049\Data2,WSS049_20230405_200202.wav,597.844,2023-04-05,20:02:02,20,2023-04-05,08:02:02,8,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,faSPJtE2UInFmWoDagkJig==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS045\Data2,WSS045_20230405_205202.wav,597.844,2023-04-05,20:52:02,20,2023-04-05,08:52:02,8,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,Ri7vtnQONGVmZo3TzKpzEw==
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS045\Data2,WSS045_20230313_110102.wav,597.844,2023-03-13,11:01:02,11,2023-03-12,23:01:02,23,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,CTfly5OF38U8CL6W2t6Kbg==
